V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000236.D2	GBM cell 2053	Brain	Homo sapiens	1001000236	D2	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A10	GBM cell 2054	Brain	Homo sapiens	1001000236	A10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G11	GBM cell 2055	Brain	Homo sapiens	1001000236	G11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D9	GBM cell 2056	Brain	Homo sapiens	1001000236	D9	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F10	GBM cell 2057	Brain	Homo sapiens	1001000236	F10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B6	GBM cell 2058	Brain	Homo sapiens	1001000236	B6	Tumor	BT_S4	7	Immune cell	Regular
1001000236.B11	GBM cell 2059	Brain	Homo sapiens	1001000236	B11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G3	GBM cell 2060	Brain	Homo sapiens	1001000236	G3	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F2	GBM cell 2061	Brain	Homo sapiens	1001000236	F2	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G7	GBM cell 2062	Brain	Homo sapiens	1001000236	G7	Tumor	BT_S4	8	Immune cell	Regular
1001000236.E8	GBM cell 2063	Brain	Homo sapiens	1001000236	E8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F9	GBM cell 2064	Brain	Homo sapiens	1001000236	F9	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C10	GBM cell 2065	Brain	Homo sapiens	1001000236	C10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D12	GBM cell 2066	Brain	Homo sapiens	1001000236	D12	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D11	GBM cell 2067	Brain	Homo sapiens	1001000236	D11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F5	GBM cell 2068	Brain	Homo sapiens	1001000236	F5	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C12	GBM cell 2069	Brain	Homo sapiens	1001000236	C12	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B3	GBM cell 2070	Brain	Homo sapiens	1001000236	B3	Tumor	BT_S4	8	Immune cell	Regular
1001000236.H5	GBM cell 2071	Brain	Homo sapiens	1001000236	H5	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A12	GBM cell 2072	Brain	Homo sapiens	1001000236	A12	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A3	GBM cell 2073	Brain	Homo sapiens	1001000236	A3	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C7	GBM cell 2074	Brain	Homo sapiens	1001000236	C7	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B8	GBM cell 2075	Brain	Homo sapiens	1001000236	B8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F3	GBM cell 2076	Brain	Homo sapiens	1001000236	F3	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D4	GBM cell 2077	Brain	Homo sapiens	1001000236	D4	Tumor	BT_S4	8	Immune cell	Regular
1001000236.E9	GBM cell 2078	Brain	Homo sapiens	1001000236	E9	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B12	GBM cell 2079	Brain	Homo sapiens	1001000236	B12	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A1	GBM cell 2080	Brain	Homo sapiens	1001000236	A1	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F7	GBM cell 2081	Brain	Homo sapiens	1001000236	F7	Tumor	BT_S4	8	Immune cell	Regular
1001000236.E4	GBM cell 2082	Brain	Homo sapiens	1001000236	E4	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C2	GBM cell 2083	Brain	Homo sapiens	1001000236	C2	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A8	GBM cell 2084	Brain	Homo sapiens	1001000236	A8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.H2	GBM cell 2085	Brain	Homo sapiens	1001000236	H2	Tumor	BT_S4	8	Immune cell	Regular
1001000236.H8	GBM cell 2086	Brain	Homo sapiens	1001000236	H8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D6	GBM cell 2087	Brain	Homo sapiens	1001000236	D6	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C9	GBM cell 2088	Brain	Homo sapiens	1001000236	C9	Tumor	BT_S4	8	Immune cell	Regular
1001000236.E7	GBM cell 2089	Brain	Homo sapiens	1001000236	E7	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F1	GBM cell 2090	Brain	Homo sapiens	1001000236	F1	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G8	GBM cell 2091	Brain	Homo sapiens	1001000236	G8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C11	GBM cell 2092	Brain	Homo sapiens	1001000236	C11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.C5	GBM cell 2093	Brain	Homo sapiens	1001000236	C5	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G4	GBM cell 2094	Brain	Homo sapiens	1001000236	G4	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B7	GBM cell 2095	Brain	Homo sapiens	1001000236	B7	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G12	GBM cell 2096	Brain	Homo sapiens	1001000236	G12	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G6	GBM cell 2097	Brain	Homo sapiens	1001000236	G6	Tumor	BT_S4	8	Immune cell	Regular
1001000236.E5	GBM cell 2098	Brain	Homo sapiens	1001000236	E5	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G1	GBM cell 2099	Brain	Homo sapiens	1001000236	G1	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A11	GBM cell 2100	Brain	Homo sapiens	1001000236	A11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.H6	GBM cell 2101	Brain	Homo sapiens	1001000236	H6	Tumor	BT_S4	8	Immune cell	Regular
1001000236.H10	GBM cell 2102	Brain	Homo sapiens	1001000236	H10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D1	GBM cell 2103	Brain	Homo sapiens	1001000236	D1	Tumor	BT_S4	8	Immune cell	Regular
1001000236.D8	GBM cell 2104	Brain	Homo sapiens	1001000236	D8	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G10	GBM cell 2105	Brain	Homo sapiens	1001000236	G10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B10	GBM cell 2106	Brain	Homo sapiens	1001000236	B10	Tumor	BT_S4	8	Immune cell	Regular
1001000236.G2	GBM cell 2107	Brain	Homo sapiens	1001000236	G2	Tumor	BT_S4	8	Immune cell	Regular
1001000236.F11	GBM cell 2108	Brain	Homo sapiens	1001000236	F11	Tumor	BT_S4	8	Immune cell	Regular
1001000236.B5	GBM cell 2109	Brain	Homo sapiens	1001000236	B5	Tumor	BT_S4	8	Immune cell	Regular
1001000236.A5	GBM cell 2110	Brain	Homo sapiens	1001000236	A5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E5	GBM cell 2111	Brain	Homo sapiens	1001000237	E5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C4	GBM cell 2112	Brain	Homo sapiens	1001000237	C4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A3	GBM cell 2113	Brain	Homo sapiens	1001000237	A3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E3	GBM cell 2114	Brain	Homo sapiens	1001000237	E3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B11	GBM cell 2115	Brain	Homo sapiens	1001000237	B11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G12	GBM cell 2116	Brain	Homo sapiens	1001000237	G12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D3	GBM cell 2117	Brain	Homo sapiens	1001000237	D3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G2	GBM cell 2118	Brain	Homo sapiens	1001000237	G2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C9	GBM cell 2119	Brain	Homo sapiens	1001000237	C9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B5	GBM cell 2120	Brain	Homo sapiens	1001000237	B5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A5	GBM cell 2121	Brain	Homo sapiens	1001000237	A5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C10	GBM cell 2122	Brain	Homo sapiens	1001000237	C10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A12	GBM cell 2123	Brain	Homo sapiens	1001000237	A12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B1	GBM cell 2124	Brain	Homo sapiens	1001000237	B1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F3	GBM cell 2125	Brain	Homo sapiens	1001000237	F3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D10	GBM cell 2126	Brain	Homo sapiens	1001000237	D10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H7	GBM cell 2127	Brain	Homo sapiens	1001000237	H7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E1	GBM cell 2128	Brain	Homo sapiens	1001000237	E1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D1	GBM cell 2129	Brain	Homo sapiens	1001000237	D1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B3	GBM cell 2130	Brain	Homo sapiens	1001000237	B3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D5	GBM cell 2131	Brain	Homo sapiens	1001000237	D5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G4	GBM cell 2132	Brain	Homo sapiens	1001000237	G4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G10	GBM cell 2133	Brain	Homo sapiens	1001000237	G10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A10	GBM cell 2134	Brain	Homo sapiens	1001000237	A10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F12	GBM cell 2135	Brain	Homo sapiens	1001000237	F12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A9	GBM cell 2136	Brain	Homo sapiens	1001000237	A9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A7	GBM cell 2137	Brain	Homo sapiens	1001000237	A7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H11	GBM cell 2138	Brain	Homo sapiens	1001000237	H11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E10	GBM cell 2139	Brain	Homo sapiens	1001000237	E10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D12	GBM cell 2140	Brain	Homo sapiens	1001000237	D12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H3	GBM cell 2141	Brain	Homo sapiens	1001000237	H3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H1	GBM cell 2142	Brain	Homo sapiens	1001000237	H1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G6	GBM cell 2143	Brain	Homo sapiens	1001000237	G6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D7	GBM cell 2144	Brain	Homo sapiens	1001000237	D7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C12	GBM cell 2145	Brain	Homo sapiens	1001000237	C12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F6	GBM cell 2146	Brain	Homo sapiens	1001000237	F6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E8	GBM cell 2147	Brain	Homo sapiens	1001000237	E8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C8	GBM cell 2148	Brain	Homo sapiens	1001000237	C8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G11	GBM cell 2149	Brain	Homo sapiens	1001000237	G11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A4	GBM cell 2150	Brain	Homo sapiens	1001000237	A4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F8	GBM cell 2151	Brain	Homo sapiens	1001000237	F8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F10	GBM cell 2152	Brain	Homo sapiens	1001000237	F10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F1	GBM cell 2153	Brain	Homo sapiens	1001000237	F1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H5	GBM cell 2154	Brain	Homo sapiens	1001000237	H5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E12	GBM cell 2155	Brain	Homo sapiens	1001000237	E12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D9	GBM cell 2156	Brain	Homo sapiens	1001000237	D9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G8	GBM cell 2157	Brain	Homo sapiens	1001000237	G8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C2	GBM cell 2158	Brain	Homo sapiens	1001000237	C2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A2	GBM cell 2159	Brain	Homo sapiens	1001000237	A2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E6	GBM cell 2160	Brain	Homo sapiens	1001000237	E6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E4	GBM cell 2161	Brain	Homo sapiens	1001000237	E4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B10	GBM cell 2162	Brain	Homo sapiens	1001000237	B10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H8	GBM cell 2163	Brain	Homo sapiens	1001000237	H8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D4	GBM cell 2164	Brain	Homo sapiens	1001000237	D4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C1	GBM cell 2165	Brain	Homo sapiens	1001000237	C1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F9	GBM cell 2166	Brain	Homo sapiens	1001000237	F9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B8	GBM cell 2167	Brain	Homo sapiens	1001000237	B8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A11	GBM cell 2168	Brain	Homo sapiens	1001000237	A11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D6	GBM cell 2169	Brain	Homo sapiens	1001000237	D6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C3	GBM cell 2170	Brain	Homo sapiens	1001000237	C3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B12	GBM cell 2171	Brain	Homo sapiens	1001000237	B12	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E2	GBM cell 2172	Brain	Homo sapiens	1001000237	E2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D2	GBM cell 2173	Brain	Homo sapiens	1001000237	D2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B6	GBM cell 2174	Brain	Homo sapiens	1001000237	B6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G3	GBM cell 2175	Brain	Homo sapiens	1001000237	G3	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C6	GBM cell 2176	Brain	Homo sapiens	1001000237	C6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A6	GBM cell 2177	Brain	Homo sapiens	1001000237	A6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F4	GBM cell 2178	Brain	Homo sapiens	1001000237	F4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G5	GBM cell 2179	Brain	Homo sapiens	1001000237	G5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D8	GBM cell 2180	Brain	Homo sapiens	1001000237	D8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C5	GBM cell 2181	Brain	Homo sapiens	1001000237	C5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F5	GBM cell 2182	Brain	Homo sapiens	1001000237	F5	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B4	GBM cell 2183	Brain	Homo sapiens	1001000237	B4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G9	GBM cell 2184	Brain	Homo sapiens	1001000237	G9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F7	GBM cell 2185	Brain	Homo sapiens	1001000237	F7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F11	GBM cell 2186	Brain	Homo sapiens	1001000237	F11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B2	GBM cell 2187	Brain	Homo sapiens	1001000237	B2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.G7	GBM cell 2188	Brain	Homo sapiens	1001000237	G7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H9	GBM cell 2189	Brain	Homo sapiens	1001000237	H9	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H4	GBM cell 2190	Brain	Homo sapiens	1001000237	H4	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C11	GBM cell 2191	Brain	Homo sapiens	1001000237	C11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.D11	GBM cell 2192	Brain	Homo sapiens	1001000237	D11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A8	GBM cell 2193	Brain	Homo sapiens	1001000237	A8	Tumor	BT_S4	8	Immune cell	Regular
1001000237.C7	GBM cell 2194	Brain	Homo sapiens	1001000237	C7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H6	GBM cell 2195	Brain	Homo sapiens	1001000237	H6	Tumor	BT_S4	8	Immune cell	Regular
1001000237.B7	GBM cell 2196	Brain	Homo sapiens	1001000237	B7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.A1	GBM cell 2197	Brain	Homo sapiens	1001000237	A1	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E7	GBM cell 2198	Brain	Homo sapiens	1001000237	E7	Tumor	BT_S4	8	Immune cell	Regular
1001000237.F2	GBM cell 2199	Brain	Homo sapiens	1001000237	F2	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E11	GBM cell 2200	Brain	Homo sapiens	1001000237	E11	Tumor	BT_S4	8	Immune cell	Regular
1001000237.H10	GBM cell 2201	Brain	Homo sapiens	1001000237	H10	Tumor	BT_S4	8	Immune cell	Regular
1001000237.E9	GBM cell 2202	Brain	Homo sapiens	1001000237	E9	Tumor	BT_S4	8	Immune cell	Regular
1001000238.F12	GBM cell 2203	Brain	Homo sapiens	1001000238	F12	Periphery	BT_S4	8	Immune cell	Regular
1001000238.F3	GBM cell 2204	Brain	Homo sapiens	1001000238	F3	Periphery	BT_S4	7	Immune cell	Regular
1001000238.A4	GBM cell 2205	Brain	Homo sapiens	1001000238	A4	Periphery	BT_S4	8	Immune cell	Regular
1001000238.F8	GBM cell 2206	Brain	Homo sapiens	1001000238	F8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G6	GBM cell 2207	Brain	Homo sapiens	1001000238	G6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B11	GBM cell 2208	Brain	Homo sapiens	1001000238	B11	Periphery	BT_S4	7	Immune cell	Regular
1001000238.E7	GBM cell 2209	Brain	Homo sapiens	1001000238	E7	Periphery	BT_S4	7	Immune cell	Regular
1001000238.D5	GBM cell 2210	Brain	Homo sapiens	1001000238	D5	Periphery	BT_S4	12	Vascular	Regular
1001000238.B6	GBM cell 2211	Brain	Homo sapiens	1001000238	B6	Periphery	BT_S4	8	Immune cell	Regular
1001000238.E9	GBM cell 2212	Brain	Homo sapiens	1001000238	E9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F10	GBM cell 2213	Brain	Homo sapiens	1001000238	F10	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F5	GBM cell 2214	Brain	Homo sapiens	1001000238	F5	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G9	GBM cell 2215	Brain	Homo sapiens	1001000238	G9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.A6	GBM cell 2216	Brain	Homo sapiens	1001000238	A6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.H8	GBM cell 2217	Brain	Homo sapiens	1001000238	H8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.D7	GBM cell 2218	Brain	Homo sapiens	1001000238	D7	Periphery	BT_S4	8	Immune cell	Regular
1001000238.A3	GBM cell 2219	Brain	Homo sapiens	1001000238	A3	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F7	GBM cell 2220	Brain	Homo sapiens	1001000238	F7	Periphery	BT_S4	8	Immune cell	Regular
1001000238.E1	GBM cell 2221	Brain	Homo sapiens	1001000238	E1	Periphery	BT_S4	8	Immune cell	Regular
1001000238.H10	GBM cell 2222	Brain	Homo sapiens	1001000238	H10	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B9	GBM cell 2223	Brain	Homo sapiens	1001000238	B9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.D9	GBM cell 2224	Brain	Homo sapiens	1001000238	D9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.E10	GBM cell 2225	Brain	Homo sapiens	1001000238	E10	Periphery	BT_S4	7	Immune cell	Regular
1001000238.A5	GBM cell 2226	Brain	Homo sapiens	1001000238	A5	Periphery	BT_S4	8	Immune cell	Regular
1001000238.C3	GBM cell 2227	Brain	Homo sapiens	1001000238	C3	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F9	GBM cell 2228	Brain	Homo sapiens	1001000238	F9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.A11	GBM cell 2229	Brain	Homo sapiens	1001000238	A11	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C8	GBM cell 2230	Brain	Homo sapiens	1001000238	C8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C10	GBM cell 2231	Brain	Homo sapiens	1001000238	C10	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G5	GBM cell 2232	Brain	Homo sapiens	1001000238	G5	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C6	GBM cell 2233	Brain	Homo sapiens	1001000238	C6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B4	GBM cell 2234	Brain	Homo sapiens	1001000238	B4	Periphery	BT_S4	8	Immune cell	Regular
1001000238.C12	GBM cell 2235	Brain	Homo sapiens	1001000238	C12	Periphery	BT_S4	8	Immune cell	Regular
1001000238.E3	GBM cell 2236	Brain	Homo sapiens	1001000238	E3	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B10	GBM cell 2237	Brain	Homo sapiens	1001000238	B10	Periphery	BT_S4	8	Immune cell	Regular
1001000238.D2	GBM cell 2238	Brain	Homo sapiens	1001000238	D2	Periphery	BT_S4	8	Immune cell	Regular
1001000238.B2	GBM cell 2239	Brain	Homo sapiens	1001000238	B2	Periphery	BT_S4	7	Immune cell	Regular
1001000238.E5	GBM cell 2240	Brain	Homo sapiens	1001000238	E5	Periphery	BT_S4	7	Immune cell	Regular
1001000238.E6	GBM cell 2241	Brain	Homo sapiens	1001000238	E6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B5	GBM cell 2242	Brain	Homo sapiens	1001000238	B5	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B12	GBM cell 2243	Brain	Homo sapiens	1001000238	B12	Periphery	BT_S4	8	Immune cell	Regular
1001000238.H1	GBM cell 2244	Brain	Homo sapiens	1001000238	H1	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C11	GBM cell 2245	Brain	Homo sapiens	1001000238	C11	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G11	GBM cell 2246	Brain	Homo sapiens	1001000238	G11	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G10	GBM cell 2247	Brain	Homo sapiens	1001000238	G10	Periphery	BT_S4	7	Immune cell	Regular
1001000238.H7	GBM cell 2248	Brain	Homo sapiens	1001000238	H7	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G7	GBM cell 2249	Brain	Homo sapiens	1001000238	G7	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F2	GBM cell 2250	Brain	Homo sapiens	1001000238	F2	Periphery	BT_S4	7	Immune cell	Regular
1001000238.H11	GBM cell 2251	Brain	Homo sapiens	1001000238	H11	Periphery	BT_S4	8	Immune cell	Regular
1001000238.D4	GBM cell 2252	Brain	Homo sapiens	1001000238	D4	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B7	GBM cell 2253	Brain	Homo sapiens	1001000238	B7	Periphery	BT_S4	8	Immune cell	Regular
1001000238.G3	GBM cell 2254	Brain	Homo sapiens	1001000238	G3	Periphery	BT_S4	8	Immune cell	Regular
1001000238.F11	GBM cell 2255	Brain	Homo sapiens	1001000238	F11	Periphery	BT_S4	7	Immune cell	Regular
1001000238.A7	GBM cell 2256	Brain	Homo sapiens	1001000238	A7	Periphery	BT_S4	7	Immune cell	Regular
1001000238.H9	GBM cell 2257	Brain	Homo sapiens	1001000238	H9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.F4	GBM cell 2258	Brain	Homo sapiens	1001000238	F4	Periphery	BT_S4	8	Immune cell	Regular
1001000238.D6	GBM cell 2259	Brain	Homo sapiens	1001000238	D6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C5	GBM cell 2260	Brain	Homo sapiens	1001000238	C5	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B8	GBM cell 2261	Brain	Homo sapiens	1001000238	B8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.D12	GBM cell 2262	Brain	Homo sapiens	1001000238	D12	Periphery	BT_S4	8	Immune cell	Regular
1001000238.D10	GBM cell 2263	Brain	Homo sapiens	1001000238	D10	Periphery	BT_S4	8	Immune cell	Regular
1001000238.A9	GBM cell 2264	Brain	Homo sapiens	1001000238	A9	Periphery	BT_S4	7	Immune cell	Regular
1001000238.H2	GBM cell 2265	Brain	Homo sapiens	1001000238	H2	Periphery	BT_S4	8	Immune cell	Regular
1001000238.F6	GBM cell 2266	Brain	Homo sapiens	1001000238	F6	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G8	GBM cell 2267	Brain	Homo sapiens	1001000238	G8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G12	GBM cell 2268	Brain	Homo sapiens	1001000238	G12	Periphery	BT_S4	7	Immune cell	Regular
1001000238.G4	GBM cell 2269	Brain	Homo sapiens	1001000238	G4	Periphery	BT_S4	7	Immune cell	Regular
1001000238.D8	GBM cell 2270	Brain	Homo sapiens	1001000238	D8	Periphery	BT_S4	7	Immune cell	Regular
1001000238.E4	GBM cell 2271	Brain	Homo sapiens	1001000238	E4	Periphery	BT_S4	7	Immune cell	Regular
1001000238.B3	GBM cell 2272	Brain	Homo sapiens	1001000238	B3	Periphery	BT_S4	8	Immune cell	Regular
1001000238.A12	GBM cell 2273	Brain	Homo sapiens	1001000238	A12	Periphery	BT_S4	8	Immune cell	Regular
1001000238.A2	GBM cell 2274	Brain	Homo sapiens	1001000238	A2	Periphery	BT_S4	8	Immune cell	Regular
1001000238.E2	GBM cell 2275	Brain	Homo sapiens	1001000238	E2	Periphery	BT_S4	7	Immune cell	Regular
1001000238.C7	GBM cell 2276	Brain	Homo sapiens	1001000238	C7	Periphery	BT_S4	7	Immune cell	Regular
1001000239.E6	GBM cell 2277	Brain	Homo sapiens	1001000239	E6	Periphery	BT_S4	7	Immune cell	Regular
1001000239.B5	GBM cell 2278	Brain	Homo sapiens	1001000239	B5	Periphery	BT_S4	7	Immune cell	Regular
1001000239.A4	GBM cell 2279	Brain	Homo sapiens	1001000239	A4	Periphery	BT_S4	7	Immune cell	Regular
1001000239.G5	GBM cell 2280	Brain	Homo sapiens	1001000239	G5	Periphery	BT_S4	7	Immune cell	Regular
1001000239.C9	GBM cell 2281	Brain	Homo sapiens	1001000239	C9	Periphery	BT_S4	8	Immune cell	Regular
1001000239.F8	GBM cell 2282	Brain	Homo sapiens	1001000239	F8	Periphery	BT_S4	8	Immune cell	Regular
1001000239.F1	GBM cell 2283	Brain	Homo sapiens	1001000239	F1	Periphery	BT_S4	8	Immune cell	Regular
1001000239.D9	GBM cell 2284	Brain	Homo sapiens	1001000239	D9	Periphery	BT_S4	8	Immune cell	Regular
