V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000174.F7	GBM cell 88	Brain	Homo sapiens	1001000174	F7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A2	GBM cell 89	Brain	Homo sapiens	1001000174	A2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E4	GBM cell 90	Brain	Homo sapiens	1001000174	E4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D12	GBM cell 91	Brain	Homo sapiens	1001000174	D12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H4	GBM cell 92	Brain	Homo sapiens	1001000174	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C5	GBM cell 93	Brain	Homo sapiens	1001000174	C5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E9	GBM cell 94	Brain	Homo sapiens	1001000174	E9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D1	GBM cell 95	Brain	Homo sapiens	1001000174	D1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G4	GBM cell 96	Brain	Homo sapiens	1001000174	G4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G9	GBM cell 97	Brain	Homo sapiens	1001000174	G9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D4	GBM cell 98	Brain	Homo sapiens	1001000174	D4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H11	GBM cell 99	Brain	Homo sapiens	1001000174	H11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A9	GBM cell 100	Brain	Homo sapiens	1001000174	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G12	GBM cell 101	Brain	Homo sapiens	1001000174	G12	Tumor	BT_S2	8	Immune cell	Regular
1001000174.A4	GBM cell 102	Brain	Homo sapiens	1001000174	A4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C7	GBM cell 103	Brain	Homo sapiens	1001000174	C7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B12	GBM cell 104	Brain	Homo sapiens	1001000174	B12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D11	GBM cell 105	Brain	Homo sapiens	1001000174	D11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B3	GBM cell 106	Brain	Homo sapiens	1001000174	B3	Tumor	BT_S2	7	Immune cell	Regular
1001000174.F5	GBM cell 107	Brain	Homo sapiens	1001000174	F5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G6	GBM cell 108	Brain	Homo sapiens	1001000174	G6	Tumor	BT_S2	11	Neoplastic	Neoplastic
