"Dim1" "Dim2"
"1001000174.D4" 2.75166470190821 -66.201853274695
"1001000174.H11" 11.8509746969224 -66.1860847872772
"1001000174.A9" 17.8289698796771 -68.7813714515478
"1001000174.G12" 0.918401601836519 44.1075741000547
"1001000174.A4" 19.599010781989 -69.5841595465334
"1001000174.C7" 12.6854175713393 -69.4750314700403
"1001000174.B12" 8.56559752289015 -62.3481255165343
"1001000174.D11" -9.80738635038154 -47.5467177365376
"1001000174.B3" 37.2424048184122 44.8729399151587
"1001000174.F5" 7.64424281843064 -69.7529579552467
"1001000174.G6" 11.2299097911081 -68.7025014954068
"1001000174.D6" -2.04293904461247 -49.8007701309444
"1001000174.H3" 17.7685616782499 -70.9596856488435
"1001000174.F12" -0.920603612969071 -50.1541289045778
"1001000174.E6" -6.53092089505027 -38.0007958775685
"1001000174.G3" -5.64014154838666 -46.4647703860863
"1001000174.A8" 16.0130610616411 -66.9787528875769
"1001000174.B10" -5.83191439492484 -49.135816861185
"1001000174.C2" 0.0410433846692995 -53.2221291898842
"1001000174.F1" 7.86606141824963 -63.7392173834112
"1001000174.F3" 31.8085135872578 26.5570764464005
"1001000174.C11" 17.2742605374756 -70.720205557197
"1001000174.H8" -11.5783712996796 -51.0605601012472
"1001000174.H1" -4.1349193130857 -47.7383700951153
"1001000174.G8" 14.509505993219 -73.9665139973221
"1001000174.B5" -1.75586524208057 -51.8616906242389
"1001000174.E11" -9.32053370750223 -56.8117228623613
"1001000174.E8" 8.53262762912959 -71.370096564255
"1001000174.F11" 17.9049181044128 -66.8924247043041
"1001000174.A1" -10.5830419444029 -57.9006491598529
"1001000174.E7" 4.83099087217442 -58.2497855871459
"1001000174.B1" 9.28306245640985 -70.7874479542612
"1001000174.C12" -3.53888439905722 -56.1995894167095
"1001000174.C9" 12.3512438567907 -65.349255463469
"1001000174.D7" -3.2946714487935 -49.7412158034439
"1001000174.D2" -5.32734742646712 -56.2378921886088
"1001000174.C4" 16.1273826611271 -70.1524542669313
"1001000174.F8" 15.4379691149036 -62.9534772972092
"1001000174.D10" 3.6691357786835 -62.5719484081312
"1001000174.G11" -6.90798089007108 -61.4710386848891
"1001000174.A3" 16.9279968094285 -68.1723393953517
"1001000174.E3" 3.12854935972396 -66.0546333516684
"1001000174.H5" -10.1025118869113 -48.8584877549366
"1001000174.C6" -14.1384867416367 -48.4636401490718
"1001000174.D3" 8.52727102978688 -73.2804800630024
"1001000174.D9" 18.1846295773267 -69.4541652593939
"1001000175.E1" -4.99554590621515 -50.4805383241485
"1001000175.A3" -1.89398325224392 -52.8733800659801
"1001000175.H2" -11.154180565916 -54.0422573952208
"1001000175.C11" 18.5441890689881 -67.4678619368502
"1001000175.D9" -22.8956808861052 -3.55603064858506
"1001000175.G12" -1.73069622724319 -54.5365605928688
"1001000175.F3" 8.49536071968781 -72.694337644025
"1001000175.B9" -8.06839005974616 -49.3004191602636
"1001000175.H4" 13.0581606290128 -70.711537929321
"1001000175.G2" 15.338420487398 -62.5445287924204
"1001000175.H9" -45.5272755401685 -14.2010025652018
"1001000175.G11" -9.15668598057877 -50.4563317172826
"1001000175.B4" 17.6322834927434 -70.2675676079741
"1001000175.D2" 11.7567448605435 -61.8239261156796
"1001000175.C1" 19.5379544179711 -73.2684046724159
"1001000175.G7" 13.9970268441009 -67.9319894612487
"1001000175.E8" 17.8034172691023 -64.3872281781232
"1001000175.F6" -5.25723434189801 -49.4872275075704
"1001000175.H6" -6.21081026604991 -55.690716299052
"1001000175.H11" -10.3604835914666 -52.582670038013
"1001000175.C7" -2.16770419840325 -62.2535979669923
"1001000175.A11" 0.128079545602611 -66.5501225157087
"1001000175.G8" -2.51622645833345 -51.1461236293937
"1001000175.A7" -0.619641626229808 -57.6690704496555
"1001000175.H5" -0.131766189417462 -53.2462094649981
"1001000175.F8" 1.64583883291452 -50.4558877466985
"1001000175.D12" 12.2939058054649 -69.4149720392972
"1001000175.A5" 19.5324751994906 -66.7743563662743
"1001000175.D4" 2.25477117783776 -54.9850951796647
"1001000175.B6" 46.7159828673443 -46.0984437674845
"1001000175.D10" -10.3293557553368 -51.9773747141525
"1001000175.A9" 0.0491663137639481 -54.4225788300521
"1001000175.H7" 8.99023576530413 -70.8948518718987
"1001000175.G6" 4.13976410863933 42.0625593770642
"1001000175.B8" -37.5551341699934 36.9394235731749
"1001000175.B1" -3.38609689187468 -51.4127317312855
"1001000175.D5" -5.2320566368233 -51.2066983447865
"1001000175.C5" 16.1351240394985 -67.0809007528478
"1001000175.B12" 18.8376544759233 -71.7447083039812
"1001000175.E3" -5.40891151930365 -51.400586796765
"1001000175.F11" -11.2624796771392 -47.349935890921
"1001000175.G9" 17.8979411820811 41.0229233065727
"1001000175.G4" 7.10151759614243 -53.7168892655699
"1001000175.C4" 17.7552381713818 -68.2448430911208
"1001000175.F9" 7.49462777463008 -64.5095350583689
"1001000175.E7" -6.97155645267015 -59.9681677649461
